"model_id","horizon","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"UMass-AR2",0,1,2621.93613666323,1,3561.08784741304,0.208333333333333,0.75,24
"UMass-AR2",1,1,4495.68554902769,1,6006.79301958252,0.5,0.666666666666667,24
"UMass-AR2",2,1,5580.33094711159,1,7352.67300502277,0.583333333333333,0.75,24
"UMass-AR2",3,1,6694.92836083277,1,8631.42350263495,0.608695652173913,0.782608695652174,23
"UMass-AR4_pooled",0,1.03524398506566,2714.3436147069,0.989449969114274,3523.51826063605,0.541666666666667,0.708333333333333,24
"UMass-AR4_pooled",1,0.940398412665917,4227.73555415074,0.844059872138337,5070.09294807028,0.625,0.708333333333333,24
"UMass-AR4_pooled",2,0.960615510213768,5360.55245992128,0.90885180796105,6682.49015396135,0.666666666666667,0.708333333333333,24
"UMass-AR4_pooled",3,1.03099718153968,6902.45227062864,1.03457328936853,8929.84020505385,0.434782608695652,0.739130434782609,23
"UMass-AR6_fourier_d1_pooled",0,1.00632331040173,2638.51545270887,0.921577361486638,3281.81794244105,0.583333333333333,0.708333333333333,24
"UMass-AR6_fourier_d1_pooled",1,0.988653080179731,4444.67336556573,0.960137280884801,5767.34591665977,0.5,0.708333333333333,24
"UMass-AR6_fourier_d1_pooled",2,1.05289796231846,5875.51908327643,1.06601574850158,7838.06521693669,0.333333333333333,0.708333333333333,24
"UMass-AR6_fourier_d1_pooled",3,1.10687950306796,7410.47897711415,1.11955851250479,9663.38365740886,0.347826086956522,0.695652173913043,23
"UMass-AR6_fourier_pooled_both",0,0.959292268841969,2515.20306529842,0.986949404999028,3514.61353215357,0.666666666666667,0.916666666666667,24
"UMass-AR6_fourier_pooled_both",1,0.828631179915995,3725.2652210221,0.797567499406719,4790.82288808217,0.666666666666667,0.833333333333333,24
"UMass-AR6_fourier_pooled_both",2,0.817230250163157,4560.41525590121,0.811268316373527,5964.9906496299,0.708333333333333,0.833333333333333,24
"UMass-AR6_fourier_pooled_both",3,0.86799436847089,5811.16011451889,0.946721024057113,8171.55009748519,0.608695652173913,0.826086956521739,23
