"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"UMass-AR2",1,3108.68124266927,1,4333.23450975067,0.456730769230769,0.831730769230769,208
"UMass-AR4_pooled",1.01208199307995,3149.46263839039,0.96993278599302,4207.50261504704,0.423076923076923,0.798076923076923,208
"UMass-AR6_fourierP_thetaP",0.916574259705234,2856.64247163373,0.871049103170101,3786.80689776368,0.403846153846154,0.764423076923077,208
"UMass-AR6_fourier_d1_pooled",1.11485972463927,3475.55553388303,1.08805710599575,4724.93140088059,0.341346153846154,0.759615384615385,208
"UMass-AR6_fourier_pooled_both",0.894251509343828,2785.76184682898,0.918328489928775,3987.90814321441,0.600961538461538,0.913461538461538,208
"UMass-AR6_pooled",0.978432143845443,3047.72020355849,0.935549207955397,4061.78776911267,0.408653846153846,0.793269230769231,208
"UMass-AR6_pooled_both",0.915419182829972,2851.2129778901,0.939685289232426,4079.69136762809,0.605769230769231,0.899038461538462,208
"UMass-AR6_pooled_fourier",0.926402347846718,2886.90472582741,0.888192016638846,3859.25915172469,0.418269230769231,0.802884615384615,208
"UMass-AR6_pooled_sigma",0.901613723649468,2810.41692539777,0.991613618324699,4300.32662130857,0.644230769230769,0.966346153846154,208
"UMass-AR6_unpooled",0.987731682854997,3073.6838003014,1.01681360718613,4405.58319844784,0.389423076923077,0.817307692307692,208
"UMass-chronos_small",1.29654717633459,4049.26738557464,1.16698333980992,5068.69582704397,0.173076923076923,0.567307692307692,208
"UMass-flusion",0.840013397926134,2603.45810161678,0.840492366454005,3628.88890554863,0.427884615384615,0.831730769230769,208
"UMass-flusion3",0.880944784565879,2734.03841264573,0.862030077506481,3729.45455316516,0.423076923076923,0.822115384615385,208
"UMass-flusion3_weighted",0.865984947376718,2687.03631586244,0.890030136485748,3854.40565191733,0.432692307692308,0.884615384615385,208
"UMass-flusion_fourier",0.849194446565753,2631.71679117333,0.845801950270579,3651.7394706279,0.427884615384615,0.836538461538462,208
"UMass-flusion_spatial",0.848957359466274,2631.02953371077,0.84588768951439,3652.31036891857,0.432692307692308,0.831730769230769,208
"UMass-flusion_spatial2",0.84798576882509,2628.00178895874,0.845120933550118,3649.02254387538,0.427884615384615,0.831730769230769,208
"UMass-flusion_spatial2_prod",0.834005897537151,2580.67554306844,0.842751165030641,3628.89550202203,0.365384615384615,0.860576923076923,208
"UMass-flusion_spatial_mem",0.925560925936437,4581.41575203929,0.956701309834189,6313.26632030877,0.152173913043478,0.793478260869565,92
"UMass-gbqr",1.05348192488076,3284.04120243676,1.07315952197313,4663.27860430982,0.221153846153846,0.725961538461538,208
"UMass-gbqr_3src",0.833475974148668,2579.10339290713,0.84239156190907,3627.53527635319,0.370192307692308,0.855769230769231,208
"UMass-trends_ensemble",1.13333510097509,3534.68275292642,1.10286706769648,4779.77884615385,0.336538461538462,0.572115384615385,208
